id,name,district,type,status,address,latitude,longitude
"area-001-창신숭인","창신숭인","종로구","근린재생형","자료준비필요","서울특별시 종로구 창신숭인","37.5615","126.9668"
"area-002-창동상계","창동상계","도봉구 / 노원구","경제기반형","자료준비필요","서울특별시 도봉구 / 노원구 창동상계","37.6608","127.0391"
"area-003-가리봉","가리봉","구로구","근린재생형","자료준비필요","서울특별시 구로구 가리봉","37.4915","126.8836"
"area-004-해방촌","해방촌","용산구","근린재생형","자료준비필요","서울특별시 용산구 해방촌","37.5326","126.9905"
"area-005-독산동_우시장","독산동 우시장","금천구","중심시가지형","자료준비필요","서울특별시 금천구 독산동 우시장","37.4609","126.8995"
"area-006-안암동_캠퍼스타운","안암동 캠퍼스타운","성북구","일반근린형","자료준비필요","서울특별시 성북구 안암동 캠퍼스타운","37.5974","127.0247"
"area-007-수유1동","수유1동","강북구","일반근린형","자료준비필요","서울특별시 강북구 수유1동","37.6516","127.0377"
"area-008-불광2동","불광2동","은평구","일반근린형","자료준비필요","서울특별시 은평구 불광2동","37.6076","126.9087"
"area-009-묵2동","묵2동","중랑구","일반근린형","자료준비필요","서울특별시 중랑구 묵2동","37.6003","127.0825"
"area-010-천연_충현동","천연·충현동","서대문구","일반근린형","자료준비필요","서울특별시 서대문구 천연·충현동","37.5771","126.9308"
"area-011-난곡_난향동","난곡·난향동","관악구","일반근린형","자료준비필요","서울특별시 관악구 난곡·난향동","37.4804","126.9496"
"area-012-도봉2동","도봉2동","도봉구","일반근린형","자료준비필요","서울특별시 도봉구 도봉2동","37.6748","127.0491"
"area-013-사당4동","사당4동","동작구","일반근린형","자료준비필요","서울특별시 동작구 사당4동","37.5224","126.9453"
"area-014-홍릉일대","홍릉일대","동대문구 / 성북구","경제기반형","자료준비필요","서울특별시 동대문구 / 성북구 홍릉일대","37.5884","127.0496"
"area-015-목3동","목3동","양천구","일반근린형","자료준비필요","서울특별시 양천구 목3동","37.5089","126.8504"
"area-016-신월3동","신월3동","양천구","일반근린형","자료준비필요","서울특별시 양천구 신월3동","37.5129","126.8544"
"area-017-중화2동","중화2동","중랑구","일반근린형","자료준비필요","서울특별시 중랑구 중화2동","37.6063","127.0845"
"area-018-성수동","성수동","성동구","근린재생형","자료준비필요","서울특별시 성동구 성수동","37.5673","127.0329"
"area-019-신촌동","신촌동","서대문구","근린재생형","자료준비필요","서울특별시 서대문구 신촌동","37.5871","126.9368"
"area-020-암사동","암사동","강동구","근린재생형","자료준비필요","서울특별시 강동구 암사동","37.5421","127.1278"
"area-021-장위동","장위동","성북구","근린재생형","자료준비필요","서울특별시 성북구 장위동","37.6054","127.0247"
"area-022-상도4동","상도4동","동작구","근린재생형","자료준비필요","서울특별시 동작구 상도4동","37.5004","126.9273"
"area-023-서울역_일대","서울역 일대","중구 / 용산구","경제기반형","자료준비필요","서울특별시 중구 / 용산구 서울역 일대","37.5556","126.9896"
"area-024-세운상가_일대","세운상가 일대","종로구 / 중구","중심시가지형","자료준비필요","서울특별시 종로구 / 중구 세운상가 일대","37.5695","126.9748"
"area-025-창덕궁앞_도성한복판","창덕궁앞 도성한복판","종로구","중심시가지형","자료준비필요","서울특별시 종로구 창덕궁앞 도성한복판","37.5735","126.9788"
"area-026-장안평_일대","장안평 일대","성동구 / 동대문구","경제기반형","자료준비필요","서울특별시 성동구 / 동대문구 장안평 일대","37.5673","127.0409"
"area-027-영등포경인로","영등포경인로","영등포구","경제기반형","자료준비필요","서울특별시 영등포구 영등포경인로","37.5344","126.9042"
"area-028-용산전자상가","용산전자상가","용산구","중심시가지형","자료준비필요","서울특별시 용산구 용산전자상가","37.5446","127.0025"
"area-029-마장동","마장동","성동구","중심시가지형","자료준비필요","서울특별시 성동구 마장동","37.5533","127.0229"
"area-030-4_19사거리","4.19사거리","강북구","중심시가지형","자료준비필요","서울특별시 강북구 4.19사거리","37.6336","127.0157"
"area-031-정동","정동","중구","중심시가지형","자료준비필요","서울특별시 중구 정동","37.5616","126.9916"
"area-032-청량리_제기동","청량리·제기동","동대문구","중심시가지형","계획취소","서울특별시 동대문구 청량리·제기동","37.5764","127.0376"
"area-033-창3동","창3동","도봉구","일반근린형","자료준비필요","서울특별시 도봉구 창3동","37.6748","127.0491"
"area-034-송정동","송정동","성동구","일반근린형","자료준비필요","서울특별시 성동구 송정동","37.5733","127.0429"
"area-035-인수동","인수동","강북구","일반근린형","자료준비필요","서울특별시 강북구 인수동","37.6536","127.0357"
"area-036-성내2동","성내2동","강동구","일반근린형","자료준비필요","서울특별시 강동구 성내2동","37.5221","127.1078"
"area-037-구의역","구의역","광진구","중심시가지형","자료준비필요","서울특별시 광진구 구의역","37.5345","127.0703"
"area-038-풍납동","풍납동","송파구","역사문화형/근린","자료준비필요","서울특별시 송파구 풍납동","37.5145","127.0979"
"area-039-북촌가회동","북촌가회동","종로구","일반근린형","자료준비필요","서울특별시 종로구 북촌가회동","37.5775","126.9748"
"area-040-홍제역","홍제역","서대문구","중심시가지형","자료준비필요","서울특별시 서대문구 홍제역","37.5871","126.9368"
"area-041-효창공원","효창공원","용산구","중심시가지형","자료준비필요","서울특별시 용산구 효창공원","37.5446","126.9945"
"area-042-면목패션","면목패션","중랑구","중심시가지형","자료준비필요","서울특별시 중랑구 면목패션","37.6223","127.1005"
"area-043-경복궁_서측","경복궁 서측","종로구","일반근린형","자료준비필요","서울특별시 종로구 경복궁 서측","37.5615","126.9668"
"area-044-공항동","공항동","강서구","일반근린형","자료준비필요","서울특별시 강서구 공항동","37.5429","126.8415"
